,Feature,Correlation with target
1,odor_n,-0.7855566222367798
2,odor_f,0.6238419598140276
3,stalk-surface-above-ring_k,0.587658257630713
4,stalk-surface-below-ring_k,0.5735240117095786
5,ring-type_p,-0.5404689127748091
6,gill-size_n,0.5400243574329782
7,gill-size_b,-0.5400243574329637
8,gill-color_b,0.5388081615534243
9,bruises_f,0.5015303774076804
10,bruises_t,-0.5015303774076804
11,stalk-surface-above-ring_s,-0.49131418071172045
12,spore-print-color_h,0.49022917056952875
13,ring-type_l,0.4516190663173296
14,population_v,0.44372237905537937
15,stalk-surface-below-ring_s,-0.42544404585499374
16,spore-print-color_n,-0.41664529710731296
17,spore-print-color_k,-0.3968322009032092
18,spore-print-color_w,0.3573840060325314
19,gill-spacing_c,0.34838678518425714
20,gill-spacing_w,-0.34838678518425714
21,habitat_p,0.3233457869287355
22,gill-color_n,-0.288942901022247
23,odor_s,0.28635964804706715
24,odor_y,0.2863596480470653
25,stalk-color-above-ring_g,-0.266488683876408
26,stalk-color-below-ring_g,-0.2664886838764011
27,stalk-color-below-ring_b,0.24566243917577452
28,stalk-color-above-ring_b,0.24566243917577396
29,stalk-color-above-ring_n,0.23316368640593974
30,gill-color_w,-0.2313162223127224
31,stalk-color-below-ring_p,0.23027687483001447
32,stalk-color-above-ring_p,0.2302768748300136
33,ring-type_e,0.22328591679319268
34,population_n,-0.21952922241346798
35,odor_a,-0.21952922241346606
36,odor_l,-0.21952922241346604
37,stalk-root_c,-0.21854760016986197
38,stalk-color-above-ring_w,-0.2177404335323403
39,population_a,-0.21487139719903744
40,stalk-color-below-ring_w,-0.21411214894713834
41,ring-number_t,-0.20459959468742997
42,stalk-color-below-ring_n,0.20396577010585304
43,stalk-root_e,-0.20283885998339637
44,cap-surface_f,-0.19541477669457083
45,gill-color_u,-0.19535917121356827
46,odor_p,0.18698395047809332
47,cap-shape_b,-0.1825666895050599
48,ring-number_o,0.1821013741723795
49,habitat_g,-0.16500414599797308
50,cap-shape_k,0.16356508085622237
51,odor_c,0.16127824377951158
52,population_s,-0.15957159653996586
53,habitat_l,0.15514953289218752
54,gill-color_h,0.1506943485129193
55,stalk-color-below-ring_o,-0.15008688275680862
56,stalk-color-above-ring_o,-0.15008688275680862
57,habitat_w,-0.1500868827568009
58,stalk-root_r,-0.15008688275679857
59,gill-color_k,-0.14964064018821005
60,veil-color_w,0.14054124612754015
61,habitat_m,-0.13862663152254698
62,population_c,-0.13764485472021007
63,stalk-surface-below-ring_f,-0.13678187461177946
64,cap-color_w,-0.13368288213882376
65,gill-attachment_a,-0.12919986026790925
66,gill-attachment_f,0.12919986026790925
67,habitat_d,-0.12612311991453362
68,gill-color_g,0.12028463137353719
69,stalk-surface-above-ring_f,-0.11950320307198839
70,cap-color_y,0.1130138868823738
71,habitat_u,0.11207815283453702
72,population_y,-0.1070548606047723
73,veil-color_n,-0.10549100033273023
74,veil-color_o,-0.10549100033273012
75,stalk-color-below-ring_e,-0.10549100033272535
76,stalk-color-above-ring_e,-0.10549100033272527
77,gill-color_e,-0.10549100033272522
78,stalk-shape_t,-0.10201901701656306
79,stalk-shape_e,0.10201901701656306
80,spore-print-color_r,0.09802365435296377
81,cap-color_e,0.09711241151695843
82,cap-surface_s,0.09545448428229213
83,cap-surface_y,0.08867702391664842
84,gill-color_o,-0.0859618873373139
85,stalk-surface-below-ring_y,-0.08167385587596376
86,spore-print-color_o,-0.07437139702538086
87,spore-print-color_y,-0.07437139702538065
88,spore-print-color_b,-0.0743713970253805
89,spore-print-color_u,-0.07437139702537872
90,ring-type_f,-0.07437139702537755
91,stalk-color-above-ring_c,0.06915876083187578
92,ring-type_n,0.06915876083187578
93,ring-number_n,0.06915876083187578
94,stalk-color-below-ring_c,0.06915876083187578
95,odor_m,0.06915876083187578
96,cap-color_b,0.06754404517616609
97,cap-shape_s,-0.060663928080204446
98,gill-color_r,0.05642604818907478
99,stalk-color-below-ring_y,0.05642604818907321
100,gill-color_p,-0.05037972297502801
101,gill-color_y,-0.04682810363234069
102,cap-color_g,-0.04645578646282859
103,cap-color_n,-0.04435988270150925
104,cap-color_u,-0.0428535295236955
105,cap-color_r,-0.04285352952369539
106,cap-color_p,0.034702283769296405
107,veil-color_y,0.032545466298610416
108,stalk-color-above-ring_y,0.032545466298610416
109,cap-color_c,-0.030910302793345917
110,cap-surface_g,0.023007450962257328
111,cap-shape_c,0.023007450962255087
