,F1 score,accuracy score,model,time,features
0,0.8995215311004785,0.896636587366694,Logistic Regression,0.005566835403442383,1
1,0.8995215311004785,0.896636587366694,Decision Tree,0.002766847610473633,1
2,0.8995215311004785,0.896636587366694,Random Forest,0.04676198959350586,1
3,0.8995215311004785,0.896636587366694,K-Nearest Neighbors,0.05786395072937012,1
4,0.8995215311004785,0.896636587366694,SVM,0.6342599391937256,1
0,0.8995215311004785,0.896636587366694,Logistic Regression,0.005967855453491211,2
1,0.8995215311004785,0.896636587366694,Decision Tree,0.0023310184478759766,2
2,0.8995215311004785,0.896636587366694,Random Forest,0.07957315444946289,2
3,0.8995215311004785,0.896636587366694,K-Nearest Neighbors,0.05051898956298828,2
4,0.8995215311004785,0.896636587366694,SVM,0.8308689594268799,2
0,0.8995215311004785,0.896636587366694,Logistic Regression,0.006777763366699219,3
1,0.8995215311004785,0.896636587366694,Decision Tree,0.0024628639221191406,3
2,0.8995215311004785,0.896636587366694,Random Forest,0.04064178466796875,3
3,0.8033349681216283,0.8355209187858901,K-Nearest Neighbors,0.04893064498901367,3
4,0.8995215311004785,0.896636587366694,SVM,0.8707377910614014,3
0,0.8888888888888888,0.8843314191960624,Logistic Regression,0.007142305374145508,4
1,0.8764478764478765,0.8949958982772764,Decision Tree,0.002515077590942383,4
2,0.8764478764478765,0.8949958982772764,Random Forest,0.04232978820800781,4
3,0.8950884086444009,0.8904840032813782,K-Nearest Neighbors,0.05201005935668945,4
4,0.8764478764478765,0.8949958982772764,SVM,0.9617431163787842,4
0,0.922720962517353,0.9315012305168171,Logistic Regression,0.007831096649169922,5
1,0.9281767955801106,0.9360131255127153,Decision Tree,0.0026979446411132812,5
2,0.9281767955801106,0.9360131255127153,Random Forest,0.04423880577087402,5
3,0.9281767955801106,0.9360131255127153,K-Nearest Neighbors,0.056326866149902344,5
4,0.922720962517353,0.9315012305168171,SVM,0.7063066959381104,5
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.008265972137451172,6
1,0.9789428448646326,0.9799015586546349,Decision Tree,0.002740144729614258,6
2,0.9789428448646326,0.9799015586546349,Random Forest,0.04540610313415527,6
3,0.9789428448646326,0.9799015586546349,K-Nearest Neighbors,0.05982804298400879,6
4,0.9789428448646326,0.9799015586546349,SVM,0.39975857734680176,6
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.008762121200561523,7
1,0.9789428448646326,0.9799015586546349,Decision Tree,0.0030820369720458984,7
2,0.9789428448646326,0.9799015586546349,Random Forest,0.04612612724304199,7
3,0.9789428448646326,0.9799015586546349,K-Nearest Neighbors,0.1114037036895752,7
4,0.9789428448646326,0.9799015586546349,SVM,0.3942861557006836,7
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.009829282760620117,8
1,0.9789428448646326,0.9799015586546349,Decision Tree,0.0039081573486328125,8
2,0.9789428448646326,0.9799015586546349,Random Forest,0.044854164123535156,8
3,0.9789428448646326,0.9799015586546349,K-Nearest Neighbors,0.07405614852905273,8
4,0.9789428448646326,0.9799015586546349,SVM,0.47063612937927246,8
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.01032876968383789,9
1,0.9811320754716981,0.9819524200164069,Decision Tree,0.0030829906463623047,9
2,0.9811320754716981,0.9819524200164069,Random Forest,0.052822113037109375,9
3,0.9811320754716981,0.9819524200164069,K-Nearest Neighbors,0.07858800888061523,9
4,0.9789428448646326,0.9799015586546349,SVM,0.38610267639160156,9
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.01067805290222168,10
1,0.9811320754716981,0.9819524200164069,Decision Tree,0.003694772720336914,10
2,0.9811320754716981,0.9819524200164069,Random Forest,0.059947967529296875,10
3,0.9811320754716981,0.9819524200164069,K-Nearest Neighbors,0.09593510627746582,10
4,0.9811320754716981,0.9819524200164069,SVM,0.4301798343658447,10
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.01184988021850586,11
1,0.9811320754716981,0.9819524200164069,Decision Tree,0.0035898685455322266,11
2,0.9811320754716981,0.9819524200164069,Random Forest,0.04849100112915039,11
3,0.9811320754716981,0.9819524200164069,K-Nearest Neighbors,0.08564996719360352,11
4,0.9811320754716981,0.9819524200164069,SVM,0.4277951717376709,11
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.01306605339050293,12
1,0.9811320754716981,0.9819524200164069,Decision Tree,0.0031769275665283203,12
2,0.9811320754716981,0.9819524200164069,Random Forest,0.05137991905212402,12
3,0.9811320754716981,0.9819524200164069,K-Nearest Neighbors,0.0911860466003418,12
4,0.9811320754716981,0.9819524200164069,SVM,0.42015790939331055,12
0,0.9789428448646326,0.9799015586546349,Logistic Regression,0.013197183609008789,13
1,0.9811320754716981,0.9819524200164069,Decision Tree,0.003994941711425781,13
