,F1 score,accuracy score,model,time,features
0,0.8479427549194991,0.8996458087367178,Logistic Regression,0.0059528350830078125,1
1,0.8479427549194991,0.8996458087367178,Decision Tree,0.0023040771484375,1
2,0.8479427549194991,0.8996458087367178,Random Forest,0.04284024238586426,1
3,0.8479427549194991,0.8996458087367178,K-Nearest Neighbors,0.033786773681640625,1
4,0.8479427549194991,0.8996458087367178,SVM,0.24446892738342285,1
0,0.8479427549194991,0.8996458087367178,Logistic Regression,0.004888057708740234,2
1,0.8479427549194991,0.8996458087367178,Decision Tree,0.0024917125701904297,2
2,0.8479427549194991,0.8996458087367178,Random Forest,0.03341388702392578,2
3,0.8479427549194991,0.8996458087367178,K-Nearest Neighbors,0.041062355041503906,2
4,0.8479427549194991,0.8996458087367178,SVM,0.25179076194763184,2
0,0.8479427549194991,0.8996458087367178,Logistic Regression,0.004435062408447266,3
1,0.8479427549194991,0.8996458087367178,Decision Tree,0.001895904541015625,3
2,0.8479427549194991,0.8996458087367178,Random Forest,0.03206515312194824,3
3,0.8479427549194991,0.8996458087367178,K-Nearest Neighbors,0.03178286552429199,3
4,0.8479427549194991,0.8996458087367178,SVM,0.3492729663848877,3
0,0.8601769911504425,0.9067296340023613,Logistic Regression,0.005045890808105469,4
1,0.8601769911504425,0.9067296340023613,Decision Tree,0.001989126205444336,4
2,0.8601769911504425,0.9067296340023613,Random Forest,0.033373117446899414,4
3,0.8601769911504425,0.9067296340023613,K-Nearest Neighbors,0.034478187561035156,4
4,0.8601769911504425,0.9067296340023613,SVM,0.35627007484436035,4
0,0.8601769911504425,0.9067296340023613,Logistic Regression,0.005663156509399414,5
1,0.8601769911504425,0.9067296340023613,Decision Tree,0.001995086669921875,5
2,0.8601769911504425,0.9067296340023613,Random Forest,0.03260922431945801,5
3,0.8601769911504425,0.9067296340023613,K-Nearest Neighbors,0.03684210777282715,5
4,0.8601769911504425,0.9067296340023613,SVM,0.37050700187683105,5
0,0.8601769911504425,0.9067296340023613,Logistic Regression,0.005814790725708008,6
1,0.8601769911504425,0.9067296340023613,Decision Tree,0.001995086669921875,6
2,0.8601769911504425,0.9067296340023613,Random Forest,0.03324484825134277,6
3,0.8601769911504425,0.9067296340023613,K-Nearest Neighbors,0.04047799110412598,6
4,0.8601769911504425,0.9067296340023613,SVM,0.3906128406524658,6
0,0.8435374149659863,0.8642266824085005,Logistic Regression,0.005899190902709961,7
1,0.8435374149659863,0.8642266824085005,Decision Tree,0.0021309852600097656,7
2,0.8435374149659863,0.8642266824085005,Random Forest,0.035161733627319336,7
3,0.8601769911504425,0.9067296340023613,K-Nearest Neighbors,0.041661739349365234,7
4,0.8601769911504425,0.9067296340023613,SVM,0.4165482521057129,7
0,0.8435374149659863,0.8642266824085005,Logistic Regression,0.0064239501953125,8
1,0.8435374149659863,0.8642266824085005,Decision Tree,0.0020859241485595703,8
2,0.8435374149659863,0.8642266824085005,Random Forest,0.03311514854431152,8
3,0.8601769911504425,0.9067296340023613,K-Nearest Neighbors,0.04489707946777344,8
4,0.8601769911504425,0.9067296340023613,SVM,0.43790507316589355,8
0,0.8435374149659863,0.8642266824085005,Logistic Regression,0.007590055465698242,9
1,0.8435374149659863,0.8642266824085005,Decision Tree,0.0021750926971435547,9
2,0.8435374149659863,0.8642266824085005,Random Forest,0.03605914115905762,9
3,0.8568920105355575,0.9037780401416765,K-Nearest Neighbors,0.04673171043395996,9
4,0.8601769911504425,0.9067296340023613,SVM,0.4646449089050293,9
0,0.8732394366197185,0.8937426210153483,Logistic Regression,0.007937192916870117,10
1,0.8738548273431996,0.8943329397874853,Decision Tree,0.0023250579833984375,10
2,0.8738548273431996,0.8943329397874853,Random Forest,0.03566718101501465,10
3,0.8576449912126538,0.9043683589138135,K-Nearest Neighbors,0.049691200256347656,10
4,0.8601769911504425,0.9067296340023613,SVM,0.4809699058532715,10
0,0.8732394366197185,0.8937426210153483,Logistic Regression,0.00838613510131836,11
1,0.8746594005449592,0.8913813459268005,Decision Tree,0.002362966537475586,11
2,0.8746594005449592,0.8913813459268005,Random Forest,0.0375363826751709,11
3,0.8576449912126538,0.9043683589138135,K-Nearest Neighbors,0.05185723304748535,11
4,0.8601769911504425,0.9067296340023613,SVM,0.5019433498382568,11
0,0.8732394366197185,0.8937426210153483,Logistic Regression,0.008838891983032227,12
1,0.8773841961852862,0.8937426210153483,Decision Tree,0.0023789405822753906,12
